# mDM [TeV]    <s.v> [cm^3/s]
 100.000       4.62381E-23
 110.274       4.75335E-23
 121.604       4.54988E-23
 134.098       5.27230E-23
 147.876       6.59174E-23
 157.724       6.56145E-23
 163.069       6.41210E-23
 179.823       5.78096E-23
 198.299       4.13048E-23
 218.672       2.37137E-23
 241.139       1.64059E-23
 265.915       1.41906E-23
 293.236       1.35831E-23
 323.364       1.38038E-23
 356.587       1.51008E-23
 393.224       1.67109E-23
 433.624       1.80717E-23
 478.176       1.94984E-23
 527.305       2.12814E-23
 581.482       2.34423E-23
 641.225       2.57632E-23
 707.107       2.81190E-23
 779.757       3.08319E-23
 859.871       4.42588E-23
 948.217       1.04713E-22
1000.000       1.33968E-22
1047.130       1.60593E-22
1096.480       1.88473E-22
1148.150       2.17667E-22
1202.260       2.48237E-22
1258.930       2.80248E-22
1318.260       3.13767E-22
1380.380       3.48866E-22
1445.440       3.85619E-22
1513.560       4.24104E-22
1584.890       4.64403E-22
1659.590       5.06601E-22
1737.800       5.50788E-22
1819.700       5.97058E-22
1905.460       6.45508E-22
1995.260       6.96241E-22
2089.300       7.49366E-22
2187.760       8.04994E-22
2290.870       8.63244E-22
2398.830       9.24239E-22
2511.890       9.88108E-22
2630.270       1.05499E-21
2754.230       1.12502E-21
2884.030       1.19835E-21
3019.950       1.27514E-21
3162.280       1.35555E-21
3311.310       1.43974E-21
3467.370       1.52791E-21
3630.780       1.62023E-21
3801.890       1.71690E-21
3981.070       1.81812E-21
4168.690       1.92412E-21
4365.160       2.03511E-21
4570.880       2.15134E-21
4786.300       2.27304E-21
5011.870       2.40048E-21
