# mDM [TeV]    <s.v> [cm^3/s]
 100.000       7.99834E-23
 110.274       8.22243E-23
 121.604       8.20352E-23
 134.098       9.54993E-23
 147.876       1.18304E-22
 163.069       1.19950E-22
 168.037       1.18850E-22
 179.823       1.17761E-22
 198.299       1.09144E-22
 218.672       8.18465E-23
 241.139       4.72063E-23
 265.915       3.06902E-23
 293.236       2.50035E-23
 323.364       2.34963E-23
 356.587       2.45471E-23
 393.224       2.61216E-23
 433.624       2.85102E-23
 478.176       3.13329E-23
 527.305       3.36512E-23
 581.482       3.50752E-23
 641.225       3.58096E-23
 707.107       3.65595E-23
 779.757       3.77572E-23
 859.871       4.43609E-23
 948.217       7.85236E-23
1045.640       1.33968E-22
1153.072       1.54170E-22
1271.541       1.65196E-22
1402.183       1.73780E-22
1546.247       1.97242E-22
1705.113       2.79254E-22
1880.302       3.20627E-22
2073.489       3.55631E-22
2286.525       3.92645E-22
2521.449       4.34510E-22
2780.510       4.85289E-22
3066.188       5.43250E-22
3381.217       6.06736E-22
3728.613       6.62217E-22
4111.701       6.60693E-22
4534.149       6.48634E-22
5000.000       6.36796E-22
