# mDM [TeV]    <s.v> [cm^3/s]
 100.000       7.97995E-23
 110.274       8.22243E-23
 121.604       8.20352E-23
 134.098       9.57194E-23
 147.876       1.18304E-22
 158.924       1.20226E-22
 163.069       1.19399E-22
 179.823       1.16413E-22
 198.299       1.07152E-22
 218.672       8.51138E-23
 241.139       4.73151E-23
 265.915       2.97167E-23
 293.236       3.16228E-23
 323.364       2.31739E-23
 356.587       2.42103E-23
 393.224       2.58821E-23
 433.624       2.83792E-23
 478.176       3.14051E-23
 527.305       3.40408E-23
 581.482       3.58096E-23
 641.225       3.68129E-23
 707.107       3.77572E-23
 779.757       3.91742E-23
 859.871       4.63447E-23
 948.217       8.33681E-23
1045.640       1.39637E-22
1153.072       1.59956E-22
1271.541       1.71396E-22
1402.183       1.80717E-22
1546.247       2.05589E-22
1705.113       2.89068E-22
1880.302       3.29610E-22
2073.489       3.63915E-22
2286.525       3.99025E-22
2521.449       4.39542E-22
2780.510       4.87528E-22
3066.188       5.43250E-22
3381.217       6.02560E-22
3728.613       6.32412E-22
4111.701       6.20869E-22
4534.149       6.10942E-22
5000.000       6.01174E-22
